title,image,date,excerpt,link
Công bố thông tin về Báo cáo thường niên năm 2024,https://bamepharm.com.vn/wp-content/uploads/2025/01/Bamepharm-326x245.png,22/03/2025,Vui lòng tải báo cáo,https://bamepharm.com.vn/2025/03/22/cong-bo-thong-tin-ve-bao-cao-thuong-nien-nam-2024/
CBTT ngày đăng ký cuối cùng để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2025,https://bamepharm.com.vn/wp-content/uploads/2025/01/Bamepharm-326x245.png,18/03/2025,Xem nội dung đính kèm tại đây,https://bamepharm.com.vn/2025/03/18/cbtt-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-nam-2025/
Công bố thông tin về tỷ lệ SHNN tối đa,https://bamepharm.com.vn/wp-content/uploads/2025/01/Bamepharm-326x245.png,17/03/2025,Thống báo tỷ lệ sở hữu nước ngoài tối đa tại Công ty cổ phần Dược – Vật tư y tế Đắk Lắk Xem nội […],https://bamepharm.com.vn/2025/03/17/cong-bo-thong-tin-ve-ty-le-shnn-toi-da/
CBTT Báo cáo tài chính kiểm toán năm 2024,https://bamepharm.com.vn/wp-content/uploads/2025/01/Bamepharm-326x245.png,11/3/2025,Báo cáo tài chính kiểm toán năm 2024,https://bamepharm.com.vn/2025/03/11/cbtt-bao-cao-tai-chinh-kiem-toan-nam-2024/
Báo cáo Tình hình quản trị công ty năm 2024,https://bamepharm.com.vn/wp-content/themes/mh-magazine-lite/images/placeholder-medium.png,21/01/2025,Vui lòng Tải báo cáo: Tại đây!,https://bamepharm.com.vn/2025/01/21/bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2024/
CBTT V/V THAY ĐỔI NHÂN SỰ,https://bamepharm.com.vn/wp-content/themes/mh-magazine-lite/images/placeholder-medium.png,30/12/2024, VUI LÒNG TẢI NQ: TẠI ĐÂY!,https://bamepharm.com.vn/2024/12/30/cbtt-vv-thay-doi-nhan-su/
Báo cáo kết quả giao dịch và trở thành cổ đông lớn/ người có liên quan,https://bamepharm.com.vn/wp-content/uploads/2024/08/cropped-SiteLogo.jpg,7/10/2024,Báo cáo: Vui lòng tải tại đây!,https://bamepharm.com.vn/2024/10/07/bao-cao-ket-qua-giao-dich-va-tro-thanh-co-dong-lon-nguoi-co-lien-quan/
CBTT v/v Phê duyệt hạn mức tín dụng năm 2024,https://bamepharm.com.vn/wp-content/themes/mh-magazine-lite/images/placeholder-medium.png,8/8/2024,Vui lòng Tải NQ: Tại đây!,https://bamepharm.com.vn/2024/08/08/cbtt-vv-phe-duyet-han-muc-tin-dung-nam-2024/
CBTT Danh sách Cổ đông lớn 2024,https://bamepharm.com.vn/wp-content/uploads/2024/07/cropped-SiteLogo.jpg,17/07/2024,Vui lòng tải Danh sách: Tại đây!,https://bamepharm.com.vn/2024/07/17/cbtt-danh-sach-co-dong-lon-2024/
Báo cáo tình hình quản trị Công ty 6 tháng năm 2024,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,17/07/2024,Vui lòng Tải báo cáo: Tại đây!,https://bamepharm.com.vn/2024/07/17/bao-cao-tinh-hinh-quan-tri-cong-ty-6-thang-nam-2024/
CBTT V/v Ký hợp đồng kiểm toán báo cáo tài chính năm 2024,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,1/7/2024,Vui lòng Tải: Tại đây!,https://bamepharm.com.vn/2024/07/01/cbtt-vv-ky-hop-dong-kiem-toan-bao-cao-tai-chinh-nam-2024/
CBTT V/v Thay đổi nội dung đăng ký doanh nghiệp,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogo.jpg,5/6/2024,Vui lòng Tải: Tại đây!,https://bamepharm.com.vn/2024/06/05/cbtt-vv-thay-doi-noi-dung-dang-ky-doanh-nghiep/
CBTT Ngày ĐKCC để thực hiện quyền của người sở hữu cổ phiếu – Chi trả cổ tức năm 2023 bằng tiền,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,30/05/2024,NQ HĐQT đính kèm: Tại đây!,https://bamepharm.com.vn/2024/05/30/cbtt-ngay-dkcc-de-thuc-hien-quyen-cua-nguoi-so-huu-co-phieu-chi-tra-co-tuc-nam-2023-bang-tien/
CBTT Biên bản và Nghị quyết Đại hội đồng cổ đông thường niên năm 2024,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,22/04/2024,Tải Biên bản họp và Nghị quyết ĐHĐCĐ 2024: Tại đây!,https://bamepharm.com.vn/2024/04/22/cbtt-bien-ban-va-nghi-quyet-dai-hoi-dong-co-dong-thuong-nien-nam-2024/
"V/v CBTT Thông báo, thư mời họp và tài liệu ĐHĐCĐ thường niên năm 2024",https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,1/4/2024,"Vui lòng tải: Tài liệu họp ĐHĐCĐ: Tại đây! Thông báo, thư mời họp: Tại đây! Thư xác nhận, Giấy ủy quyền: Tại đây! Chương trình họp […]",https://bamepharm.com.vn/2024/04/01/1939/
V/v Quyết định áp dụng các biện pháp khắc phục hậu quả về thuế năm 2023,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,30/03/2024,Vui lòng tải: Tại đây!,https://bamepharm.com.vn/2024/03/30/vv-quyet-dinh-ap-dung-cac-bien-phap-khac-phuc-hau-qua-ve-thue-nam-2023/
CBTT Báo cáo thường niên năm 2023,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,12/3/2024,Vui lòng tải báo cáo: Tại đây!,https://bamepharm.com.vn/2024/03/12/cbtt-bao-cao-thuong-nien-nam-2023/
CBTT Báo cáo tài chính kiểm toán năm 2023,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,5/3/2024,Báo cáo tài chính kiểm toán năm 2023.,https://bamepharm.com.vn/2024/03/05/cbtt-bao-cao-tai-chinh-kiem-toan-nam-2023/
CBTT ngày đăng ký cuối cùng để thực hiện quyền tham dự ĐHĐCĐ thường niên năm 2024,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-SiteLogo.jpg,23/02/2024,Vui lòng Tải: Tại đây!,https://bamepharm.com.vn/2024/02/23/cbtt-ngay-dang-ky-cuoi-cung-de-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-nam-2024/
CBTT V/v đầu tư sửa chữa Tổng kho và đầu tư Trung tâm thương mại Dược – Trang thiết bị Y tế,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogo.jpg,23/01/2024,Vui lòng tải NQ: Tại đây!,https://bamepharm.com.vn/2024/01/23/cbtt-vv-dau-tu-sua-chua-tong-kho-va-dau-tu-trung-tam-thuong-mai-duoc-trang-thiet-bi-y-te/
Báo cáo Tình hình quản trị công ty năm 2023,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogo.jpg,17/01/2024,Vui lòng Tải báo cáo: Tại đây!,https://bamepharm.com.vn/2024/01/17/bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2023/
